Tool	Platform	Citations	MainCategories	SubCategories	Description	DOI	Journal	Status	Code	Added	Updated	Maintained	Methodology	Omics	Date	License	Activity	Responsiveness	DateSort	Stars	Abstract	Dependency	Baseline	Title	Methscore	Sequencingscore	Reviewscore	Preprint	Dataset	Reference	Tissue
scatac_poisson	Python	0	dimensionality reduction, imputation, single-omics integration	single-omics integration (scATAC-seq), imputation, dimensionality reduction	A quantitative treatment of the fragment counts that improved than existing models on applications including clustering, cell type identification, and batch integration.	10.1101/2022.05.04.490536	Preprint	Preprint	https://github.com/theislab/scatac_poisson	2022.11.08	2022.11.08	2022.05.01	variational autoencoder	CAS	2022.05.04	None	0.7265693710234830	-137.3488541666670	2	5	Single-cell ATAC-sequencing (scATAC-seq) coverage in regulatory regions is typically binarized as an indicator of open chromatin. However, the implications of scATAC-seq data binarization have never been assessed. Here, we show that the goodness-of-fit of existing models and their applications including clustering, cell type identification, and batch integration, are improved by a quantitative treatment of the fragment counts. These results have immediate implications for scATAC-seq analysis.	anndata, eml, scanpy, scvi-tools, wandb	peakVI	Modeling fragment counts improves single-cell ATAC-seq analysis	10.10351795	7.351020194	4.992189688	10.1101/2022.05.04.490536	2	Martens LD, Fischer DS, Theis FJ, Gagneur J. Modeling fragment counts improves single-cell ATAC-seq analysis. bioRxiv. 2022 Jan 1.	None
RA3	R, Matlab	13	dimensionality reduction	dimensionality reduction	A probabilistic generative model, RA3, in short for Reference-guided Approach for the Analysis of single-cell chromatin Acessibility data.	10.1038/s41467-021-22495-4	Nature Communications	Published	https://github.com/cuhklinlab/RA3	2022.11.08	2022.11.08	2021.05.04	probabilistic principal component analysis	CAS	2021.04.12	GPL	0		3	4	The recent advancements in single-cell technologies, including single-cell chromatin accessibility sequencing (scCAS), have enabled profiling the epigenetic landscapes for thousands of individual cells. However, the characteristics of scCAS data, including high dimensionality, high degree of sparsity and high technical variation, make the computational analysis challenging. Reference-guided approaches, which utilize the information in existing datasets, may facilitate the analysis of scCAS data. Here, we present RA3 (Reference-guided Approach for the Analysis of single-cell chromatin Accessibility data), which utilizes the information in massive existing bulk chromatin accessibility and annotated scCAS data. RA3 simultaneously models (1) the shared biological variation among scCAS data and the reference data, and (2) the unique biological variation in scCAS data that identifies distinct subpopulations. We show that RA3 achieves superior performance when used on several scCAS datasets, and on references constructed using various approaches. Altogether, these analyses demonstrate the wide applicability of RA3 in analyzing scCAS data.	devtools, Seurat	SCALE, Scasat, cisTopic, Cusanovich2018, snapATAC	RA3 is a reference-guided approach for epigenetic characterization of single cells	10.895618	9.664850094	8.572414644	10.1101/2020.06.16.155010	6	Chen S, Yan G, Zhang W, Li J, Jiang R, Lin Z. RA3 is a reference-guided approach for epigenetic characterization of single cells. Nature communications. 2021 Apr 12;12(1):1-3.	None
CellSpace	R, C++	0	dimensionality reduction, single-omics integration	dimensionality reduction, single-omics integration (scATAC-seq)	An efficient and scalable k-mer based embedding algorithm for scATAC-seq. CellSpace employs a latent embedding algorithm from natural language processing.	10.1101/2022.05.02.490310	Preprint	Preprint	https://github.com/zakieh-tayyebi/CellSpace	2022.11.08	2022.11.08	2022.10.21	starspace (kmer embedding)	CAS	2022.05.02	None	0.3919690240454310	29.99766203703700	2	4	Standard scATAC-seq analysis pipelines represent cells as sparse numeric vectors relative to an atlas of peaks or genomic tiles and consequently ignore genomic sequence information at accessible loci. We present CellSpace, an efficient and scalable sequence-informed embedding algorithm for scATAC-seq that learns a mapping of DNA k-mers and cells to the same space. CellSpace captures meaningful latent structure in scATAC-seq datasets, including cell subpopulations and developmental hierarchies, and scores the activity of transcription factors in single cells based on proximity to binding motifs embedded in the same space. Importantly, CellSpace implicitly mitigates batch effects arising from multiple samples, donors, or assays, even when individual datasets are processed relative to different peak atlases. Thus, CellSpace provides a powerful tool for integrating and interpreting large-scale scATAC-seq compendia.	biostrings, devtools, Seurat	ArchR, scBasset	Scalable sequence-informed embedding of single-cell ATAC-seq data with CellSpace	40.45376474	21.03210006	9.713702569	10.1101/2022.05.02.490310	5	Tayyebi Z, Pine AR, Leslie CS. Scalable sequence-informed embedding of single-cell ATAC-seq data with CellSpace. bioRxiv. 2022 Jan 1.	None
scGET-seq	None	0	dimensionality reduction	dimensionality reduction	A technique that exploits a Hybrid Transposase (tnH) along with the canonical enzyme (tn5), which is able to profile altogether closed and open chromatin in a single experiment.	10.1101/2022.06.29.498092	Preprint	Preprint		2022.11.08	2022.11.08		not applicable	CAS	2022.07.02	None	None	None	2	None	Single cell multiomics approaches are innovative techniques with the ability to profile orthogonal features in the same single cell, giving the opportunity to dig more deeply into the stochastic nature of individual cells. We recently developed scGET-seq, a technique that exploits a Hybrid Transposase (tnH) along with the canonical enzyme (tn5), which is able to profile altogether closed and open chromatin in a single experiment. This technique adds an important feature to the classic scATAC-seq assays. In fact, the lack of a closed chromatin signal in scATAC: (i) restricts sampling of DNA sequence to a very small portion of the chromosomal landscapes, substantially reducing the ability to investigate copy number alteration and sequence variations, and (ii) hampers the opportunity to identify regions of closed chromatin, that cannot be distinguished between non-sampled open regions and truly closed. scGET-seq overcomes these issues in the context of single cells. In this work, we describe the latest advances in the statistical analysis and modeling of scGET-seq data, touching several aspects of the computational framework: from dimensionality reduction, to statistical modeling, and trajectory analysis.	Not Applicable	None	Dimensionality reduction and statistical modeling of scGET-seq data	1.352081567	1.802775423	2.704163134	10.1101/2022.06.29.498092		de Pretis S, Cittaro D. Dimensionality reduction and statistical modeling of scGET-seq data. bioRxiv. 2022 Jan 1.	None
DIRECT-NET	R	3	regulatory network inference	regulatory network inference (gene-peak)	A computational method, named DIRECT-NET (Discover cis-Regulatory Elements and Construct TF regulatory NETwork), using eXtreme Gradient Boosting (XGBoost) machine learning.	10.1126/sciadv.abl7393	Science Advances	Published	https://github.com/zhanglhbioinfor/DIRECT-NET	2022.11.08	2022.11.08	2022.08.06	xgboost	CAS	2022.06.01	None	0.4670479605551860	29.55515046296300	2	7	The emergence of single-cell multiomics data provides unprecedented opportunities to scrutinize the transcriptional regulatory mechanisms controlling cell identity. However, how to use those datasets to dissect the cis-regulatory element (CRE)–to–gene relationships at a single-cell level remains a major challenge. Here, we present DIRECT-NET, a machine-learning method based on gradient boosting, to identify genome-wide CREs and their relationship to target genes, either from parallel single-cell gene expression and chromatin accessibility data or from single-cell chromatin accessibility data alone. By extensively evaluating and characterizing DIRECT-NET’s predicted CREs using independent functional genomics data, we find that DIRECT-NET substantially improves the accuracy of inferring CRE-to-gene relationships in comparison to existing methods. DIRECT-NET is also capable of revealing cell subpopulation–specific and dynamic regulatory linkages. Overall, DIRECT-NET provides an efficient tool for predicting transcriptional regulation codes from single-cell multiomics data.	devtools, Seurat	CloseGene, Distance, Cicero, ArchR, Spearman correlation, LASSO regression, Ridge, snapATAC	DIRECT-NET: An efficient method to discover cis-regulatory elements and construct regulatory networks from single-cell multiomics data	36.24160495	19.12699879	12.50203289	None	4	Zhang, L., Zhang, J., & Nie, Q.. DIRECT-NET: An efficient method to discover cis-regulatory elements and construct regulatory networks from single-cell multiomics data. Science Advances. 2022 Jun 1; 8(22), eabl7393.	None
scEpiLock	Python	0	differential feature analysis	differential feature analysis	A weakly supervised deep learning method, scEpiLock, to precisely locate CREs and quantify variant impacts in a cell-type-specific manner with three modules: (i) multi-label classifier module, (ii) object detection module, (iii) variant impact quantification module.	10.3390/biom12070874	Biomolecules	Published	https://github.com/aicb-ZhangLabs/scEpiLock	2022.11.08	2022.11.08	2021.12.14	convolutional neural network	CAS	2022.05.06	None	0		2	1	Recent advances in single-cell transposase-accessible chromatin using a sequencing assay (scATAC-seq) allow cellular heterogeneity dissection and regulatory landscape reconstruction with an unprecedented resolution. However, compared to bulk-sequencing, its ultra-high missingness remarkably reduces usable reads in each cell type, resulting in broader, fuzzier peak boundary definitions and limiting our ability to pinpoint functional regions and interpret variant impacts precisely. We propose a weakly supervised learning method, scEpiLock, to directly identify core functional regions from coarse peak labels and quantify variant impacts in a cell-type-specific manner. First, scEpiLock uses a multi-label classifier to predict chromatin accessibility via a deep convolutional neural network. Then, its weakly supervised object detection module further refines the peak boundary definition using gradient-weighted class activation mapping (Grad-CAM). Finally, scEpiLock provides cell-type-specific variant impacts within a given peak region. We applied scEpiLock to various scATAC-seq datasets and found that it achieves an area under receiver operating characteristic curve (AUC) of ~0.9 and an area under precision recall (AUPR) above 0.7. Besides, scEpiLock’s object detection condenses coarse peaks to only ⅓ of their original size while still reporting higher conservation scores. In addition, we applied scEpiLock on brain scATAC-seq data and reported several genome-wide association studies (GWAS) variants disrupting regulatory elements around known risk genes for Alzheimer’s disease, demonstrating its potential to provide cell-type-specific biological insights in disease studies.	torch	DeepSEA, DanQ, RF	scEpiLock: A Weakly Supervised Learning Framework for cis-Regulatory Element Localization and Variant Impact Quantification for Single-Cell Epigenetic Data	6.25143735	5.409130033	6.068373538	None	3	Gong Y, Srinivasan SS, Zhang R, Kessenbrock K, Zhang J. scEpiLock: A Weakly Supervised Learning Framework for cis-Regulatory Element Localization and Variant Impact Quantification for Single-Cell Epigenetic Data. Biomolecules. 2022 Jun 23;12(7):874.	None
SCRaPL	Python, R	0	regulatory network inference	regulatory network inference (gene-DNA methylation)	A Bayesian hierarchical model to infer associations between different omics components.	10.1371/journal.pcbi.1010163	PLOS Computational Biology	Published	https://github.com/chrmaniatis/SCRaPL	2022.11.08	2022.11.08	2022.04.10	bayesian hierarchical method	CAS,Meth	2022.06.21	MIT	0		2	1	Single-cell multi-omics assays offer unprecedented opportunities to explore epigenetic reg- ulation at cellular level. However, high levels of technical noise and data sparsity frequently lead to a lack of statistical power in correlative analyses, identifying very few, if any, signifi- cant associations between different molecular layers. Here we propose SCRaPL, a novel computational tool that increases power by carefully modelling noise in the experimental systems. We show on real and simulated multi-omics single-cell data sets that SCRaPL achieves higher sensitivity and better robustness in identifying correlations, while maintain- ing a similar level of false positives as standard analyses based on Pearson and Spearman correlation. 	tensorflow	Classical Pearson, Spearman	SCRaPL: A Bayesian hierarchical framework for detecting technical associates in single cell multiomics data	6.424040767	6.206376555	5.998909702	None	4	Maniatis C, Vallejos CA, Sanguinetti G. SCRaPL: A Bayesian hierarchical framework for detecting technical associates in single cell multiomics data. PLoS computational biology. 2022 Jun 21;18(6):e1010163.	None
ArchRtoSignac	R	0	preprocessing	conversion from ArchR to Signac	A modified protocol for singlenuclei isolation from postmortem frozen human brain tissue, followed by snATAC-seq library preparation and sequencing.	10.1016/j.xpro.2022.101491	STAR Protocols	Published	https://github.com/swaruplabUCI/ArchRtoSignac/	2022.11.08	2022.11.08	2022.10.26	not applicable	CAS	2022.09.16	MIT	0.6731927842759320	29.99788194444440	2	9	Single-nucleus ATAC sequencing (snATAC-seq) employs a hyperactive Tn5 transposase to gain precise information about the cis-regulatory elements in specific cell types. However, the standard protocol of snATAC-seq is not optimized for all tissues, including the brain. Here, we present a modified protocol for singlenuclei isolation from postmortem frozen human brain tissue, followed by snATAC-seq library preparation and sequencing. We also describe an integrated bioinformatics analysis pipeline using an R package (ArchRtoSignac) to robustly analyze snATAC-seq data. For complete details on the use and execution of this protocol, please refer to Morabito et al. (2021).	ArchR, Harmony, Monocle3, Signac, CellRanger-ATAC, chromVAR, cicero, devtools, rGREAT, Seurat, seuratwrapper	None	Protocol for single-nucleus ATAC sequencing and bioinformatic analysis in frozen human brain tissue	43.13671231	20.24693644	7.405763532	None		Shi Z, Das S, Morabito S, Miyoshi E, Swarup V. Protocol for single-nucleus ATAC sequencing and bioinformatic analysis in frozen human brain tissue. STAR protocols. 2022 Sep 16;3(3):101491.	None
scDART	Python	3	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq)	A scalable deep learning framework that embeds data modalities into a shared low-dimensional latent space that preserves cell trajectory structures in the original datasets.	10.1186/s13059-022-02706-x	Genome Biology	Published	https://github.com/PeterZZQ/scDART	2022.11.08	2022.11.08	2022.07.28	multi-layer perception	CAS	2022.06.27	GPL	0.5861398453339880	29.75368055555560	2	5	It is a challenging task to integrate scRNA-seq and scATAC-seq data obtained from different batches. Existing methods tend to use a pre-defined gene activity matrix to convert the scATAC-seq data into scRNA-seq data. The pre-defined gene activity matrix is often of low quality and does not reflect the dataset-specific relationship between the two data modalities. We propose scDART, a deep learning framework that integrates scRNA-seq and scATAC-seq data and learns cross-modalities relationships simultaneously. Specifically, the design of scDART allows it to preserve cell trajectories in continuous cell populations and can be applied to trajectory inference on integrated data.	torch	Liger, Seurat, UnionCom	scDART: integrating unmatched scRNA-seq and scATAC-seq data and learning cross-modality relationship simultaneously	35.68113072	18.85708485	9.700272543	None	4	Zhang Z, Yang C, Zhang X. scDART: integrating unmatched scRNA-seq and scATAC-seq data and learning cross-modality relationship simultaneously. Genome biology. 2022 Dec;23(1):1-28.	None
Chen2019	R	158	review	review (dimensionality reduction)	A benchmarking framework that is applied to 10 computational methods for scATAC-seq on 13 synthetic and real datasets from different assays, profiling cell types from diverse tissues and organisms.	10.1186/s13059-019-1854-5	Genome Biology	Published	https://github.com/pinellolab/scATAC-benchmarking/	2022.11.08	2022.11.08	2020.11.30	not applicable	CAS	2019.11.08	MIT	0.5158035517933060	28.89546296296300	5	146	Background: Recent innovations in single-cell Assay for Transposase Accessible Chromatin using sequencing (scATAC-seq) enable profiling of the epigenetic landscape of thousands of individual cells. scATAC-seq data analysis presents unique methodological challenges. scATAC-seq experiments sample DNA, which, due to low copy numbers (diploid in humans), lead to inherent data sparsity (1–10% of peaks detected per cell) compared to transcriptomic (scRNA-seq) data (10–45% of expressed genes detected per cell). Such challenges in data generation emphasize the need for informative features to assess cell heterogeneity at the chromatin level. Results: We present a benchmarking framework that is applied to 10 computational methods for scATAC-seq on 13 synthetic and real datasets from different assays, profiling cell types from diverse tissues and organisms. Methods for processing and featurizing scATAC-seq data were compared by their ability to discriminate cell types when combined with common unsupervised clustering approaches. We rank evaluated methods and discuss computational challenges associated with scATAC-seq analysis including inherently sparse data, determination of features, peak calling, the effects of sequencing coverage and noise, and clustering performance. Running times and memory requirements are also discussed. Conclusions: This reference summary of scATAC-seq methods offers recommendations for best practices with consideration for both the non-expert user and the methods developer. Despite variation across methods and datasets, SnapATAC, Cusanovich2018, and cisTopic outperform other methods in separating cell populations of different coverages and noise levels in both synthetic and real datasets. Notably, SnapATAC is the only method able to analyze a large dataset (> 80,000 cells).	Not Applicable	None	Assessment of computational methods for the analysis of single-cell ATAC-seq data	168.2665812	105.9412039	24.00729173	None	13	Chen H, Lareau C, Andreani T, Vinyard ME, Garcia SP, Clement K, Andrade-Navarro MA, Buenrostro JD, Pinello L. Assessment of computational methods for the analysis of single-cell ATAC-seq data. Genome biology. 2019 Dec;20(1):1-25.	None
